doc_id,text,date,_map,team_1,team_2
2308756_Cobblestone,Born Of Fire TYLOO Cobblestone 4 16,2017-03-17,Cobblestone,Born Of Fire,TYLOO
2308756_Inferno,Born Of Fire TYLOO Inferno 1 16,2017-03-17,Inferno,Born Of Fire,TYLOO
2308761_Mirage,5POWER fnatic Academy Mirage 3 16,2017-03-18,Mirage,5POWER,fnatic Academy
2308765_Overpass,Prospects subtLe Overpass 14 16,2017-03-17,Overpass,Prospects,subtLe
2308766_Mirage,Signature ViCi Mirage 16 12,2017-03-15,Mirage,Signature,ViCi
2308771_Cobblestone,Immortals Liquid Cobblestone 12 16,2017-03-15,Cobblestone,Immortals,Liquid
2308776_Mirage,Crowns Vexilla Mirage 5 16,2017-03-15,Mirage,Crowns,Vexilla
2308794_Mirage,Recca UTM Mirage 16 9,2017-03-18,Mirage,Recca,UTM
2308813_Mirage,UTM Signature Mirage 10 16,2017-05-03,Mirage,UTM,Signature
2308814_Mirage,JYP MiTH Mirage 16 14,2017-05-10,Mirage,JYP,MiTH
2308815_Cache,Fire Dragoon Mineski Cache 16 7,2017-05-10,Cache,Fire Dragoon,Mineski
2308815_Overpass,Fire Dragoon Mineski Overpass 5 16,2017-05-10,Overpass,Fire Dragoon,Mineski
2308820_Cache,JYP glassysky Cache 9 16,2017-05-01,Cache,JYP,glassysky
2308821_Inferno,Mineski Signature Inferno 14 16,2017-05-04,Inferno,Mineski,Signature
2308832_Cobblestone,JYP Recca Cobblestone 5 16,2017-05-14,Cobblestone,JYP,Recca
2308832_Inferno,JYP Recca Inferno 12 16,2017-05-14,Inferno,JYP,Recca
2308839_Cobblestone,Vexilla RuSh3D Cobblestone 14 16,2017-03-16,Cobblestone,Vexilla,RuSh3D
2308841_Inferno,RuSh3D MAXISAUCISSE Inferno 13 16,2017-03-17,Inferno,RuSh3D,MAXISAUCISSE
2308844_Overpass,Splyce Eanix Overpass 16 3,2017-03-17,Overpass,Splyce,Eanix
2308856_Mirage,ALTERNATE aTTaX Tricked Mirage 14 16,2017-03-16,Mirage,ALTERNATE aTTaX,Tricked
2308867_Cache,TYLOO 5POWER Cache 22 18,2017-03-18,Cache,TYLOO,5POWER
2308869_Nuke,G2 Envy Nuke 16 13,2017-03-18,Nuke,G2,Envy
2308873_Overpass,Bpro Tengri Overpass 17 19,2017-03-19,Overpass,Bpro,Tengri
2308876_Cache,fnatic Academy BOOT-d[S] Cache 16 11,2017-03-19,Cache,fnatic Academy,BOOT-d[S]
2308881_Inferno,Bee's Money Crew Complexity Inferno 19 15,2017-03-25,Inferno,Bee's Money Crew,Complexity
2308882_Mirage,Space Soldiers Virtus.pro Mirage 13 16,2017-03-27,Mirage,Space Soldiers,Virtus.pro
2308898_Inferno,fnatic HellRaisers Inferno 16 7,2017-03-20,Inferno,fnatic,HellRaisers
2308900_Train,TitaNs UTM Train 16 11,2017-03-21,Train,TitaNs,UTM
2308901_Cobblestone,m0nster nxl Cobblestone 16 4,2017-03-21,Cobblestone,m0nster,nxl
2308906_Overpass,G2 HellRaisers Overpass 9 16,2017-03-21,Overpass,G2,HellRaisers
2308907_Train,LDLC NiP Train 7 16,2017-03-22,Train,LDLC,NiP
2308909_Cache,fnatic Envy Cache 16 9,2017-03-22,Cache,fnatic,Envy
2308912_Nuke,mousesports Virtus.pro Nuke 11 16,2017-03-23,Nuke,mousesports,Virtus.pro
2308930_Inferno,Denial SMAZING Inferno 12 16,2017-03-22,Inferno,Denial,SMAZING
2308936_Inferno,SMAZING Eclipse Inferno 16 19,2017-03-24,Inferno,SMAZING,Eclipse
